keys,de,en,tr
KRUG_ANZEIGE,"Versuch %d von %d · Summe: %d · Punkte: %d · Linksklick schiebt, Esc beendet %s","Try %d of %d · Total: %d · Points: %d · Left click slides, Esc quits %s","Deneme %d / %d · Toplam: %d · Puan: %d · Sol tık kaydırır, Esc çıkış %s"
KRUG_KRAFT,"Kraft — zu fest, und der Krug fällt hinten herunter!","Power — too hard and the stein falls off the end!","Güç — fazla sert itersen kupa arkadan düşer!"
KRUG_FELD,%d Punkte!,%d points!,%d puan!
KRUG_DANEBEN,daneben,missed,olmadı
WORLD_KRUG,Krugschieben,Stein Sliding,Kupa Kaydırma
BRIEF_TITEL,Letzter Wille von Onkel Sepp,Uncle Sepp's Last Will,Sepp Amca'nın Vasiyeti
BRIEF_WEITER,Linksklick weiter · Esc schließt,Left click for next · Esc closes,Devam için sol tık · Esc kapatır
BRIEF_ENDE,Linksklick: auf zum Kirmestor!,Left click: off to the fair gate!,Sol tık: fuar kapısına!
BRIEF_1_DU,"Mein liebes Patenkind,

wenn du diesen Brief liest, hat mich die letzte Maß erwischt. Vierzig Jahre hab ich auf dem Sloptoberfest ausgeschenkt — und jetzt vermache ich dir mein Festzelt.","My dear godchild,

if you are reading this, the last beer got me. Forty years I poured at the Sloptoberfest — and now I leave my beer tent to you.","Sevgili vaftiz çocuğum,

bu mektubu okuyorsan son bira beni yakaladı demektir. Kırk yıl Sloptoberfest'te bira doldurdum — şimdi festival çadırımı sana bırakıyorum."
BRIEF_1_IHR,"Mein liebes Patenkind — und ihr Spinner, die es sicher mitbringt,

wenn ihr diesen Brief lest, hat mich die letzte Maß erwischt. Vierzig Jahre hab ich auf dem Sloptoberfest ausgeschenkt — und jetzt vermache ich euch mein Festzelt.","My dear godchild — and whatever lunatics you are bringing along,

if you are reading this, the last beer got me. Forty years I poured at the Sloptoberfest — and now I leave my beer tent to you all.","Sevgili vaftiz çocuğum — ve yanında getirdiğin o deliler,

bu mektubu okuyorsanız son bira beni yakaladı demektir. Kırk yıl Sloptoberfest'te bira doldurdum — şimdi festival çadırımı size bırakıyorum."
BRIEF_2_DU,"Ich will ehrlich sein: Das Zelt ist verstaubt, und ein paar Schulden hängen auch dran. Der Huber vom Nachbarzelt wartet nur darauf, dass du aufgibst. Tu ihm den Gefallen nicht.","I will be honest: the tent is dusty, and there are a few debts attached. Huber from the tent next door is just waiting for you to give up. Do not do him that favour.","Dürüst olayım: çadır tozlu, üstüne biraz da borç var. Yan çadırdaki Huber pes etmeni bekliyor. Ona bu iyiliği yapma."
BRIEF_2_IHR,"Ich will ehrlich sein: Das Zelt ist verstaubt, und ein paar Schulden hängen auch dran. Der Huber vom Nachbarzelt wartet nur darauf, dass ihr aufgebt. Tut ihm den Gefallen nicht.","I will be honest: the tent is dusty, and there are a few debts attached. Huber from the tent next door is just waiting for you to give up. Do not do him that favour.","Dürüst olayım: çadır tozlu, üstüne biraz da borç var. Yan çadırdaki Huber pes etmenizi bekliyor. Ona bu iyiliği yapmayın."
BRIEF_3_DU,"Der Wiesnchef erwartet dich in seinem Wiesenbüro, ganz im Osten der Kirmes. Such ihn auf, er zeigt dir alles. Kalte Maß, heißes Hendl, sauberes Klo — mehr braucht's nicht.

Prost und pfiat di,
dein Onkel Sepp","The fair manager is expecting you at his fair office, at the far east of the fair. Go find him, he will show you everything. Cold beer, hot chicken, clean toilets — that is all it takes.

Cheers and farewell,
your Uncle Sepp","Fuar müdürü seni fuarın en doğusundaki ofisinde bekliyor. Onu bul, sana her şeyi gösterecek. Soğuk bira, sıcak tavuk, temiz tuvalet — başka bir şey gerekmez.

Şerefe ve hoşça kal,
Sepp Amcan"
BRIEF_3_IHR,"Der Wiesnchef erwartet euch in seinem Wiesenbüro, ganz im Osten der Kirmes. Sucht ihn auf, er zeigt euch alles. Kalte Maß, heißes Hendl, sauberes Klo — mehr braucht's nicht.

Prost und pfiat eich,
euer Onkel Sepp","The fair manager is expecting you at his fair office, at the far east of the fair. Go find him, he will show you everything. Cold beer, hot chicken, clean toilets — that is all it takes.

Cheers and farewell,
your Uncle Sepp","Fuar müdürü sizi fuarın en doğusundaki ofisinde bekliyor. Onu bulun, size her şeyi gösterecek. Soğuk bira, sıcak tavuk, temiz tuvalet — başka bir şey gerekmez.

Şerefe ve hoşça kalın,
Sepp Amcanız"
CHEF_4_DU,"Da wär's — Sepps Festzelt. Vierzig Jahre hat er hier ausgeschenkt, die Leute haben ihn geliebt.","Here it is — Sepp's beer tent. Forty years he poured here, people loved him.","İşte — Sepp'in bira çadırı. Kırk yıl burada bira doldurdu, insanlar onu severdi."
CHEF_4_IHR,"Da wär's — Sepps Festzelt. Vierzig Jahre hat er hier ausgeschenkt, die Leute haben ihn geliebt.","Here it is — Sepp's beer tent. Forty years he poured here, people loved him.","İşte — Sepp'in bira çadırı. Kırk yıl burada bira doldurdu, insanlar onu severdi."
CHEF_5_DU,"Nur mit dem Rechnen hatte er's nicht so. Die Bank wartet nicht ewig auf ihr Geld.","He was just not great with numbers. The bank will not wait forever for its money.","Sadece hesapla arası pek iyi değildi. Banka parasını sonsuza kadar beklemez."
CHEF_5_IHR,"Nur mit dem Rechnen hatte er's nicht so. Die Bank wartet nicht ewig auf ihr Geld.","He was just not great with numbers. The bank will not wait forever for its money.","Sadece hesapla arası pek iyi değildi. Banka parasını sonsuza kadar beklemez."
CHEF_6_DU,"Und der Huber vom Nachbarzelt reibt sich schon die Hände …","And Huber from the tent next door is already rubbing his hands …","Yan çadırdaki Huber de şimdiden ellerini ovuşturuyor …"
CHEF_6_IHR,"Und der Huber vom Nachbarzelt reibt sich schon die Hände …","And Huber from the tent next door is already rubbing his hands …","Yan çadırdaki Huber de şimdiden ellerini ovuşturuyor …"
CHEF_8_DU,"Du schaffst das. Der Sepp wäre stolz auf dich.","You can do it. Sepp would be proud of you.","Bunu başarırsın. Sepp seninle gurur duyardı."
CHEF_8_IHR,"Ihr schafft das. Der Sepp wäre stolz auf euch.","You can do it. Sepp would be proud of you.","Bunu başarırsınız. Sepp sizinle gurur duyardı."
HINT_WIESNCHEF,{interact} Mit dem Wiesnchef reden,{interact} Talk to the fair manager,{interact} Fuar müdürüyle konuş
DIALOG_WEITER,Linksklick / E weiter,Left click / E for next,Devam için sol tık / E
DIALOG_ENDE,Linksklick / E beenden,Left click / E to finish,Bitirmek için sol tık / E
WIESNCHEF_NAME,Wiesnchef,Fair manager,Fuar müdürü
CHEF_7_DU,"Unterschreib vorne am roten Schild, dann gehört das Zelt dir. Danach komm zu mir — ich zeig dir, wie's weitergeht.","Sign at the red board up front and the tent is yours. Then come to me — I will show you what comes next.","Öndeki kırmızı tabelada imzala, çadır senin olsun. Sonra yanıma gel — devamını göstereyim."
CHEF_7_IHR,"Unterschreibt vorne am roten Schild, dann gehört das Zelt euch. Danach kommt zu mir — ich zeig euch, wie's weitergeht.","Sign at the red board up front and the tent is yours. Then come to me — I will show you what comes next.","Öndeki kırmızı tabelada imzalayın, çadır sizin olsun. Sonra yanıma gelin — devamını göstereyim."
CHEF_BUERO_1_DU,"Das ist mein Wiesenbüro. Hier am Schreibtisch kaufst du alles, was dein Zelt braucht.","This is my fair office. At this desk you buy everything your tent needs.","Burası benim fuar ofisim. Çadırının ihtiyacı olan her şeyi bu masadan alırsın."
CHEF_BUERO_1_IHR,"Das ist mein Wiesenbüro. Hier am Schreibtisch kauft ihr alles, was euer Zelt braucht.","This is my fair office. At this desk you buy everything your tent needs.","Burası benim fuar ofisim. Çadırınızın ihtiyacı olan her şeyi bu masadan alırsınız."
CHEF_BUERO_2_DU,"Ein leeres Zelt lockt keinen. Reiter Zelt: Stell zuerst zwei Tische auf.","An empty tent attracts nobody. Tent tab: first put up two tables.","Boş çadır kimseyi çekmez. Çadır sekmesi: önce iki masa kur."
CHEF_BUERO_2_IHR,"Ein leeres Zelt lockt keinen. Reiter Zelt: Stellt zuerst zwei Tische auf.","An empty tent attracts nobody. Tent tab: first put up two tables.","Boş çadır kimseyi çekmez. Çadır sekmesi: önce iki masa kurun."
CHEF_BUERO_3_DU,"Und ohne Bier kein Geschäft: Reiter Ware, ein Paket Bier bestellen. Der Lieferwagen bringt's dann zum Zelt.","And no beer, no business: Goods tab, order a parcel of beer. The van brings it to the tent.","Bira yoksa iş de yok: Mal sekmesi, bir paket bira sipariş et. Kamyonet çadıra getirir."
CHEF_BUERO_3_IHR,"Und ohne Bier kein Geschäft: Reiter Ware, ein Paket Bier bestellen. Der Lieferwagen bringt's dann zum Zelt.","And no beer, no business: Goods tab, order a parcel of beer. The van brings it to the tent.","Bira yoksa iş de yok: Mal sekmesi, bir paket bira sipariş edin. Kamyonet çadıra getirir."
CHEF_LAGER_1_DU,"Hier ist dein Lager. Gleich hält der Lieferwagen vorm Zelt und lädt die Pakete ab.","This is your storage. The van will stop outside the tent shortly and unload the parcels.","Burası deponun. Kamyonet birazdan çadırın önünde durup paketleri indirecek."
CHEF_LAGER_1_IHR,"Hier ist euer Lager. Gleich hält der Lieferwagen vorm Zelt und lädt die Pakete ab.","This is your storage. The van will stop outside the tent shortly and unload the parcels.","Burası deponuz. Kamyonet birazdan çadırın önünde durup paketleri indirecek."
CHEF_LAGER_2_DU,"Nimm jedes Paket mit E und stell es hier ins Regal. Erst dann kannst du zapfen.","Pick up each parcel with E and put it on the shelf here. Only then can you pour.","Her paketi E ile al ve buradaki rafa koy. Ancak o zaman bira doldurabilirsin."
CHEF_LAGER_2_IHR,"Nehmt jedes Paket mit E und stellt es hier ins Regal. Erst dann könnt ihr zapfen.","Pick up each parcel with E and put it on the shelf here. Only then can you pour.","Her paketi E ile alın ve buradaki rafa koyun. Ancak o zaman bira doldurabilirsiniz."
CHEF_SCHLAF_1_DU,"Sauber! Für heute ist alles bereit. Dein Wohnwagen steht in der Gasse im Süden.","Well done! Everything is ready for today. Your caravan is in the lane to the south.","Aferin! Bugün için her şey hazır. Karavanın güneydeki sokakta."
CHEF_SCHLAF_1_IHR,"Sauber! Für heute ist alles bereit. Euer Wohnwagen steht in der Gasse im Süden.","Well done! Everything is ready for today. Your caravan is in the lane to the south.","Aferin! Bugün için her şey hazır. Karavanınız güneydeki sokakta."
CHEF_SCHLAF_2_DU,"Schlaf dich aus. Morgen früh um sieben zeig ich dir an der Theke das Zapfen.","Get some sleep. Tomorrow at seven I will show you how to pour at the bar.","Biraz uyu. Yarın sabah yedide sana tezgahta bira doldurmayı göstereceğim."
CHEF_SCHLAF_2_IHR,"Schlaft euch aus. Morgen früh um sieben zeig ich euch an der Theke das Zapfen.","Get some sleep. Tomorrow at seven I will show you how to pour at the bar.","Biraz uyuyun. Yarın sabah yedide size tezgahta bira doldurmayı göstereceğim."
CHEF_ZAPF_1_DU,"Guten Morgen! Gleich kommen die ersten Gäste. Pass auf, so geht's:","Good morning! The first guests are about to arrive. Watch, this is how it works:","Günaydın! İlk misafirler birazdan gelir. Dikkat et, şöyle yapılır:"
CHEF_ZAPF_1_IHR,"Guten Morgen! Gleich kommen die ersten Gäste. Passt auf, so geht's:","Good morning! The first guests are about to arrive. Watch, this is how it works:","Günaydın! İlk misafirler birazdan gelir. Dikkat edin, şöyle yapılır:"
CHEF_ZAPF_2_DU,"Hinten am Regal nimmst du einen leeren Krug. Am Fass E gedrückt halten, bis er voll ist.","Grab an empty mug from the shelf at the back. Hold E at a keg until it is full.","Arkadaki raftan boş bir kupa al. Dolana kadar fıçıda E'ye basılı tut."
CHEF_ZAPF_2_IHR,"Hinten am Regal nehmt ihr einen leeren Krug. Am Fass E gedrückt halten, bis er voll ist.","Grab an empty mug from the shelf at the back. Hold E at a keg until it is full.","Arkadaki raftan boş bir kupa alın. Dolana kadar fıçıda E'ye basılı tutun."
CHEF_ZAPF_3_DU,"Den vollen Krug stellst du hier vorne auf die Ausgabe. Wer bedient, holt ihn da ab.","Put the full mug on the pass here up front. Whoever serves picks it up there.","Dolu kupayı öndeki servis yerine koy. Servis yapan onu oradan alır."
CHEF_ZAPF_3_IHR,"Den vollen Krug stellt ihr hier vorne auf die Ausgabe. Wer bedient, holt ihn da ab.","Put the full mug on the pass here up front. Whoever serves picks it up there.","Dolu kupayı öndeki servis yerine koyun. Servis yapan onu oradan alır."
CHEF_ZAPF_4_DU,"Dann zum Gast mit der passenden Blase überm Kopf und E drücken. Zufriedene Gäste zahlen gut!","Then go to the guest with the matching bubble above their head and press E. Happy guests pay well!","Sonra başının üstünde uygun balon olan misafire git ve E'ye bas. Memnun misafir iyi öder!"
CHEF_ZAPF_4_IHR,"Dann zum Gast mit der passenden Blase überm Kopf und E drücken. Zufriedene Gäste zahlen gut!","Then go to the guest with the matching bubble above their head and press E. Happy guests pay well!","Sonra başının üstünde uygun balon olan misafire gidin ve E'ye basın. Memnun misafir iyi öder!"
CHEF_BUERO2_1_DU,"Der erste Tag ist geschafft! Allein wirst du's aber nicht lange durchhalten.","The first day is done! But you will not last long on your own.","İlk gün bitti! Ama tek başına uzun dayanamazsın."
CHEF_BUERO2_1_IHR,"Der erste Tag ist geschafft! Ganz ohne Hilfe haltet ihr's aber nicht lange durch.","The first day is done! But you will not last long without help.","İlk gün bitti! Ama yardımsız uzun dayanamazsınız."
CHEF_BUERO2_2_DU,"Reiter Personal: Stell einen Kellner ein. Koch, Zapfer und Putzkraft gibt's auch.","Staff tab: hire a waiter. There are cooks, tapsters and cleaners too.","Personel sekmesi: bir garson işe al. Aşçı, fıçıcı ve temizlikçi de var."
CHEF_BUERO2_2_IHR,"Reiter Personal: Stellt einen Kellner ein. Koch, Zapfer und Putzkraft gibt's auch.","Staff tab: hire a waiter. There are cooks, tapsters and cleaners too.","Personel sekmesi: bir garson işe alın. Aşçı, fıçıcı ve temizlikçi de var."
CHEF_BUERO2_3_DU,"Reiter Lizenzen: Weizen, Radler, Brezn, Hendl — mehr Auswahl bringt mehr Umsatz.","Licences tab: wheat beer, radler, pretzels, chicken — more choice, more sales.","Lisanslar sekmesi: buğday birası, radler, pretzel, tavuk — daha çok çeşit, daha çok satış."
CHEF_BUERO2_3_IHR,"Reiter Lizenzen: Weizen, Radler, Brezn, Hendl — mehr Auswahl bringt mehr Umsatz.","Licences tab: wheat beer, radler, pretzels, chicken — more choice, more sales.","Lisanslar sekmesi: buğday birası, radler, pretzel, tavuk — daha çok çeşit, daha çok satış."
CHEF_BUERO2_4_DU,"Im Reiter Zelt gibt's auch ein Klo — sonst pinkeln dir die Gäste in die Ecke.","The tent tab also has a toilet — otherwise guests will pee in the corner.","Çadır sekmesinde tuvalet de var — yoksa misafirler köşeye işer."
CHEF_BUERO2_4_IHR,"Im Reiter Zelt gibt's auch ein Klo — sonst pinkeln euch die Gäste in die Ecke.","The tent tab also has a toilet — otherwise guests will pee in the corner.","Çadır sekmesinde tuvalet de var — yoksa misafirler köşeye işer."
CHEF_BUERO2_5_DU,"Und unter Künstler buchst du Musik. Eine Blaskapelle zieht die Leute an wie Honig.","And under Acts you book music. A brass band draws people in like honey.","Sanatçılar bölümünden müzik ayarlarsın. Bando insanları bal gibi çeker."
CHEF_BUERO2_5_IHR,"Und unter Künstler bucht ihr Musik. Eine Blaskapelle zieht die Leute an wie Honig.","And under Acts you book music. A brass band draws people in like honey.","Sanatçılar bölümünden müzik ayarlarsınız. Bando insanları bal gibi çeker."
CHEF_ENDE_1_DU,"Mehr kann ich dir nicht beibringen. Ab jetzt ist das dein Zelt.","I cannot teach you any more. From now on it is your tent.","Sana öğretebileceğim başka bir şey yok. Artık bu senin çadırın."
CHEF_ENDE_1_IHR,"Mehr kann ich euch nicht beibringen. Ab jetzt ist das euer Zelt.","I cannot teach you any more. From now on it is your tent.","Size öğretebileceğim başka bir şey yok. Artık bu sizin çadırınız."
CHEF_ENDE_2_DU,"Wenn du was brauchst: Du findest mich hier im Büro. Pfiat di!","If you need anything: you will find me here at the office. Bye!","Bir şeye ihtiyacın olursa: beni burada ofiste bulursun. Hoşça kal!"
CHEF_ENDE_2_IHR,"Wenn ihr was braucht: Ihr findet mich hier im Büro. Pfiat eich!","If you need anything: you will find me here at the office. Bye!","Bir şeye ihtiyacınız olursa: beni burada ofiste bulursunuz. Hoşça kalın!"
ZIEL_BEDIENEN,Bediene %d Gäste,Serve %d guests,%d misafire servis yap
ZIEL_UMSATZ,Mach %s Umsatz,Make %s in sales,%s ciro yap
ZIEL_SAUBER,Keine einzige Pfütze im Zelt,Not a single puddle in the tent,Çadırda tek bir birikinti bile olmasın
ZIEL_VERPASST,Höchstens %d Bestellungen verpassen,Miss at most %d orders,En fazla %d siparişi kaçır
ZIEL_BESCHWERDEN,Keine einzige Beschwerde,Not a single complaint,Tek bir şikayet bile olmasın
MSG_ZIEL_NEU,Tagesziel: %s,Daily goal: %s,Günlük hedef: %s
MSG_ZIEL_GESCHAFFT,Tagesziel geschafft! Der Wiesnchef legt %s drauf,Daily goal reached! The fair manager adds %s,Günlük hedef tamam! Fuar müdürü %s ekliyor
MSG_ZIEL_VERFEHLT,Tagesziel verfehlt — morgen neues Glück,Daily goal missed — better luck tomorrow,Günlük hedef kaçtı — yarın yeni şans
MSG_BANK_MORGEN,Morgen Abend bucht die Bank %s für Sepps Schulden ab,Tomorrow evening the bank collects %s for Sepp's debts,Yarın akşam banka Sepp'in borçları için %s çekecek
MSG_BANK_BEZAHLT,Rate von %s bezahlt — noch %s Schulden,Instalment of %s paid — %s debt left,%s taksit ödendi — %s borç kaldı
POPUP_BANK_HEUTE,"Post von der Bank\n\nHeute Abend wird die nächste Rate für Onkel Sepps Schulden fällig: %s.\n\nInsgesamt stehen noch %s offen. Reicht das Geld nicht, springt die Brauerei ein — teuer.","Mail from the bank\n\nThis evening the next instalment of Uncle Sepp's debt is due: %s.\n\n%s is still owed in total. If the money is not there, the brewery steps in — at a price.","Bankadan mektup\n\nBu akşam Sepp Amca'nın borcunun bir sonraki taksiti ödenecek: %s.\n\nToplamda hâlâ %s borç var. Para yetmezse bira fabrikası devreye girer — pahalıya."
POPUP_BANK_FREI,"Schuldenfrei!\n\nDie letzte Rate von %s ist bezahlt. Onkel Sepps Zelt gehört jetzt ganz dir — ohne einen Cent Schulden.\n\nDer Sepp hätte eine Runde ausgegeben. Prost!","Debt free!\n\nThe last instalment of %s is paid. Uncle Sepp's tent is now fully yours — without a cent of debt.\n\nSepp would have bought a round. Cheers!","Borç bitti!\n\nSon taksit olan %s ödendi. Sepp Amca'nın çadırı artık tamamen senin — tek kuruş borç yok.\n\nSepp olsa herkese bir tur ısmarlardı. Şerefe!"
HUD_TAGESZIEL,Tagesziel · Tag %d,Daily goal · Day %d,Günlük hedef · Gün %d
HUD_ZIEL_MORGEN,Neues Ziel morgen früh,New goal tomorrow morning,Yeni hedef yarın sabah
HUD_ZIEL_LOHN,Belohnung: %s,Reward: %s,Ödül: %s
HUD_BANK,Sepps Schulden: %s fällig an Tag %d (gesamt %s),Sepp's debt: %s due on day %d (total %s),Sepp'in borcu: %s — Gün %d (toplam %s)
CHEF_ZIEL_DU,"Mein Ziel für dich heute: %s. Schaffst du's, leg ich %s drauf.","My goal for you today: %s. Manage it and I will add %s.","Bugün senin için hedefim: %s. Başarırsan %s eklerim."
CHEF_ZIEL_IHR,"Mein Ziel für euch heute: %s. Schafft ihr's, leg ich %s drauf.","My goal for you today: %s. Manage it and I will add %s.","Bugün sizin için hedefim: %s. Başarırsanız %s eklerim."
CHEF_ZIEL_KEINS_DU,"Sobald morgen früh das Zelt aufgeht, hab ich ein neues Ziel für dich.","As soon as the tent opens tomorrow morning, I will have a new goal for you.","Yarın sabah çadır açılır açılmaz senin için yeni bir hedefim olacak."
CHEF_ZIEL_KEINS_IHR,"Sobald morgen früh das Zelt aufgeht, hab ich ein neues Ziel für euch.","As soon as the tent opens tomorrow morning, I will have a new goal for you.","Yarın sabah çadır açılır açılmaz sizin için yeni bir hedefim olacak."
CHEF_BANK_DU,"Und denk an Sepps Schulden: %s bucht die Bank am Abend von Tag %d ab. Insgesamt noch %s.","And remember Sepp's debts: the bank collects %s on the evening of day %d. %s left in total.","Sepp'in borçlarını da unutma: banka %s tutarını %d. günün akşamı çekecek. Toplam %s kaldı."
CHEF_BANK_IHR,"Und denkt an Sepps Schulden: %s bucht die Bank am Abend von Tag %d ab. Insgesamt noch %s.","And remember Sepp's debts: the bank collects %s on the evening of day %d. %s left in total.","Sepp'in borçlarını da unutmayın: banka %s tutarını %d. günün akşamı çekecek. Toplam %s kaldı."
CHEF_BANK_FREI_DU,"Schuldenfrei — der Sepp wäre stolz auf dich!","Debt free — Sepp would be proud of you!","Borçsuzsun — Sepp seninle gurur duyardı!"
CHEF_BANK_FREI_IHR,"Schuldenfrei — der Sepp wäre stolz auf euch!","Debt free — Sepp would be proud of you!","Borçsuzsunuz — Sepp sizinle gurur duyardı!"
MSG_PLEITE_HUBER,Der Huber vom Nachbarzelt hat's schon gehört — und grinst,Huber from the tent next door has already heard — and he is grinning,Yan çadırdaki Huber çoktan duymuş — ve sırıtıyor
CHEF_KREDIT_DU,"Und die Brauerei will noch %s von dir. Der Huber erzählt schon überall, dass Sepps Zelt bald ihm gehört — zeig's ihm!","And the brewery still wants %s from you. Huber is telling everyone that Sepp's tent will soon be his — prove him wrong!","Bira fabrikası senden hâlâ %s istiyor. Huber herkese Sepp'in çadırının yakında onun olacağını anlatıyor — ona gününü göster!"
CHEF_KREDIT_IHR,"Und die Brauerei will noch %s von euch. Der Huber erzählt schon überall, dass Sepps Zelt bald ihm gehört — zeigt's ihm!","And the brewery still wants %s from you. Huber is telling everyone that Sepp's tent will soon be his — prove him wrong!","Bira fabrikası sizden hâlâ %s istiyor. Huber herkese Sepp'in çadırının yakında onun olacağını anlatıyor — ona gününü gösterin!"
QUEST_1_TITLE,Übernimm Sepps Zelt,Take over Sepp's tent,Sepp'in çadırını devral
QUEST_1_TEXT,"Folge dem Wiesnchef zum Festzelt. Am Eingang steht das rote Schild — dort mit {interact} unterschreiben und dem Zelt einen Namen geben (500 € Gebühr, die ersten 5 Tage ohne Miete).","Follow the fair manager to the beer tent. The red board is at the entrance — sign there with {interact} and name the tent (500 € fee, the first 5 days rent-free).","Fuar müdürünü bira çadırına kadar takip et. Girişte kırmızı tabela var — orada {interact} ile imzala ve çadıra bir isim ver (500 € ücret, ilk 5 gün kira yok)."
QUEST_2_TITLE,Putze das Zelt,Clean the tent,Çadırı temizle
QUEST_0_TITLE,Sprich mit dem Wiesnchef,Talk to the fair manager,Fuar müdürüyle konuş
QUEST_0_TEXT,"Der Wiesnchef wartet vor seinem Wiesenbüro im Osten der Kirmes. Hör dir an, was er zu Sepps Zelt sagt.","The fair manager is waiting outside his fair office in the east of the fair. Hear what he has to say about Sepp's tent.","Fuar müdürü fuarın doğusundaki ofisinin önünde bekliyor. Sepp'in çadırı hakkında ne dediğini dinle."
CHEF_1_DU,"Na so was — du musst Sepps Patenkind sein! Er hat mir so viel von dir erzählt. Mein Beileid.","Well I never — you must be Sepp's godchild! He told me so much about you. My condolences.","Vay — sen Sepp'in vaftiz çocuğu olmalısın! Bana senden çok bahsetti. Başın sağ olsun."
CHEF_1_IHR,"Na so was — ihr müsst Sepps Erben sein! Er hat mir so viel von euch erzählt. Mein Beileid.","Well I never — you must be Sepp's heirs! He told me so much about you. My condolences.","Vay — siz Sepp'in varisleri olmalısınız! Bana sizden çok bahsetti. Başınız sağ olsun."
CHEF_2_DU,"Ich muss ehrlich sein: Sepps Zelt stand ein ganzes Jahr leer und ist völlig verdreckt. Und die Bank will noch %s von seinen Schulden.","I have to be honest: Sepp's tent stood empty for a whole year and is filthy. And the bank still wants %s of his debts.","Dürüst olmalıyım: Sepp'in çadırı koca bir yıl boş kaldı ve berbat halde. Banka da onun borçlarından hâlâ %s istiyor."
CHEF_2_IHR,"Ich muss ehrlich sein: Sepps Zelt stand ein ganzes Jahr leer und ist völlig verdreckt. Und die Bank will noch %s von seinen Schulden.","I have to be honest: Sepp's tent stood empty for a whole year and is filthy. And the bank still wants %s of his debts.","Dürüst olmalıyım: Sepp'in çadırı koca bir yıl boş kaldı ve berbat halde. Banka da onun borçlarından hâlâ %s istiyor."
CHEF_3_DU,"Aber ohne Festzelt kommt kein Mensch aufs Sloptoberfest. Ich bräuchte jemanden, der's wieder aufmacht.","But without a beer tent nobody comes to the Sloptoberfest. I need someone to open it up again.","Ama bira çadırı olmadan kimse Sloptoberfest'e gelmez. Onu yeniden açacak birine ihtiyacım var."
CHEF_3_IHR,"Aber ohne Festzelt kommt kein Mensch aufs Sloptoberfest. Ich bräuchte jemanden, der's wieder aufmacht.","But without a beer tent nobody comes to the Sloptoberfest. I need someone to open it up again.","Ama bira çadırı olmadan kimse Sloptoberfest'e gelmez. Onu yeniden açacak birine ihtiyacım var."
CHEF_FRAGE_DU,Also — übernimmst du Sepps Zelt?,So — will you take over Sepp's tent?,Peki — Sepp'in çadırını devralır mısın?
CHEF_FRAGE_IHR,Also — übernehmt ihr Sepps Zelt?,So — will you take over Sepp's tent?,Peki — Sepp'in çadırını devralır mısınız?
CHEF_WAHL_JA_DU,"Ja, ich mach's!","Yes, I will do it!","Evet, yaparım!"
CHEF_WAHL_JA_IHR,"Ja, wir machen's!","Yes, we will do it!","Evet, yaparız!"
CHEF_WAHL_NEIN_DU,"Nein, lieber nicht","No, better not","Hayır, olmaz"
CHEF_WAHL_NEIN_IHR,"Nein, lieber nicht","No, better not","Hayır, olmaz"
CHEF_JA_DU,"Wunderbar! Der Sepp wär stolz. Komm mit, ich bring dich zum Zelt!","Wonderful! Sepp would be proud. Come along, I will take you to the tent!","Harika! Sepp gurur duyardı. Gel, seni çadıra götüreyim!"
CHEF_JA_IHR,"Wunderbar! Der Sepp wär stolz. Kommt mit, ich bring euch zum Zelt!","Wonderful! Sepp would be proud. Come along, I will take you to the tent!","Harika! Sepp gurur duyardı. Gelin, sizi çadıra götüreyim!"
CHEF_NEIN_2_DU,"Wenn du's dir anders überlegst: Ich bin hier im Büro.","If you change your mind: I am here at the office.","Fikrini değiştirirsen: buradayım, ofiste."
CHEF_NEIN_2_IHR,"Wenn ihr's euch anders überlegt: Ich bin hier im Büro.","If you change your mind: I am here at the office.","Fikrinizi değiştirirseniz: buradayım, ofiste."
QUEST_2_TEXT,"Das Zelt stand ein Jahr leer: Planen abziehen, Dreck fegen (je {interact} halten), die Müllsäcke vor die Tür zum Müllplatz tragen. Danach ab ins Wiesenbüro.","The tent stood empty for a year: pull off the covers, sweep the dirt (hold {interact} for each), carry the rubbish bags out to the bin area by the door. Then off to the fair office.","Çadır bir yıl boş kaldı: örtüleri çek, pislikleri süpür (her biri için {interact} basılı tut), çöp torbalarını kapının önündeki çöp yerine taşı. Sonra fuar ofisine git."
CHEF_PUTZ_1_DU,"Oje … so sieht's aus, wenn ein Zelt ein Jahr leer steht. Alles unter Planen, und überall Laub, Scherben und Stroh.","Oh dear … that is what a tent looks like after a year standing empty. Everything under covers, and leaves, shards and straw everywhere.","Eyvah … bir yıl boş kalan çadır işte böyle görünür. Her şey örtülerin altında, her yerde yaprak, cam kırığı ve saman."
CHEF_PUTZ_1_IHR,"Oje … so sieht's aus, wenn ein Zelt ein Jahr leer steht. Alles unter Planen, und überall Laub, Scherben und Stroh.","Oh dear … that is what a tent looks like after a year standing empty. Everything under covers, and leaves, shards and straw everywhere.","Eyvah … bir yıl boş kalan çadır işte böyle görünür. Her şey örtülerin altında, her yerde yaprak, cam kırığı ve saman."
CHEF_PUTZ_2_DU,"Zieh die Planen von Theke, Bühne und Regalen. Den Dreck fegst du mit dem Besen zusammen — halt E gedrückt, dann kommt er in einen Sack.","Pull the covers off the bar, the stage and the shelves. Sweep the dirt together with the broom — hold E and it goes into a bag.","Tezgahın, sahnenin ve rafların örtülerini çek. Pislikleri süpürgeyle topla — E'ye basılı tut, hepsi bir torbaya girer."
